Column,Description,Tag,Description,Answer Choices,Logic
21,"As far as my identity is concerned, what defines me most is...",QID319,Single Answer Choice ,"Ethnicity (I am Tutsi / I am Indigenous), Religion (I am Muslim / I am Christian), Nationality (I am Indian / I am Argentinian), Region (I am European / I am Asian), Global (I am a citizen of the world), Philosophical Beliefs (I am Utopian / I am Communist), None, Other",
22,How much do you agree with the following statement? Most countries in the world want my country t...-Strongly Disagree:Strongly Agree,QID132-1,Single Answer Choice," 1 (Strongly Disagree), 2, 3, 4, 5 (Strongly Agree)",
23,Progress_15.png,QID345,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
24,Please share your view on global and local issues and who you think can make a change.  ,QID300,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
25,"In your opinion, what are the three (3) most serious issues affecting your country today? (choose...-Lack of education",QID277-1,Multiple Answer Choice Question ( up to 3),Lack of education,
26,"In your opinion, what are the three (3) most serious issues affecting your country today? (choose...-Food & water security",QID277-2,Multiple Answer Choice Question ( up to 3),Food & water security,
27,"In your opinion, what are the three (3) most serious issues affecting your country today? (choose...-Basic welfare & healthcare",QID277-3,Multiple Answer Choice Question ( up to 3),Basic welfare & healthcare,
28,"In your opinion, what are the three (3) most serious issues affecting your country today? (choose...-Large scale conflict / wars",QID277-4,Multiple Answer Choice Question ( up to 3),Large scale conflict / wars,
29,"In your opinion, what are the three (3) most serious issues affecting your country today? (choose...-Lack of economic opportunity & employment",QID277-5,Multiple Answer Choice Question ( up to 3),Lack of economic opportunity & employment,
30,"In your opinion, what are the three (3) most serious issues affecting your country today? (choose...-Gender inequality / lack of inclusion",QID277-6,Multiple Answer Choice Question ( up to 3),Gender inequality / lack of inclusion,
31,"In your opinion, what are the three (3) most serious issues affecting your country today? (choose...-Government accountability & transparency / corruption",QID277-7,Multiple Answer Choice Question ( up to 3),Government accountability & transparency / corruption,
32,"In your opinion, what are the three (3) most serious issues affecting your country today? (choose...-Lack of political freedom / political instability",QID277-8,Multiple Answer Choice Question ( up to 3),Lack of political freedom / political instability,
33,"In your opinion, what are the three (3) most serious issues affecting your country today? (choose...-Climate change / destruction of natural resources",QID277-9,Multiple Answer Choice Question ( up to 3),Climate change / destruction of natural resources,
34,"In your opinion, what are the three (3) most serious issues affecting your country today? (choose...-Loss of privacy / security due to technology",QID277-10,Multiple Answer Choice Question ( up to 3),Loss of privacy / security due to technology,
35,"In your opinion, what are the three (3) most serious issues affecting your country today? (choose...-Religious conflicts",QID277-11,Multiple Answer Choice Question ( up to 3),Religious conflicts,
36,"In your opinion, what are the three (3) most serious issues affecting your country today? (choose...-Poverty",QID277-12,Multiple Answer Choice Question ( up to 3),Poverty,
37,"In your opinion, what are the three (3) most serious issues affecting your country today? (choose...-Online privacy / cyber crime / social media trolling",QID277-13,Multiple Answer Choice Question ( up to 3),Online privacy / cyber crime / social media trolling,
38,"In your opinion, what are the three (3) most serious issues affecting your country today? (choose...-Safety / security / wellbeing",QID277-14,Multiple Answer Choice Question ( up to 3),Safety / security / wellbeing,
39,"In your opinion, what are the three (3) most serious issues affecting your country today? (choose...-Other",QID277-15,Multiple Answer Choice Question ( up to 3),Other,
40,"In your opinion, what are the three (3) most serious issues affecting your country today? (choose...-Lack of infrastructure",QID277-16,Multiple Answer Choice Question ( up to 3),Lack of infrastructure,
41,"In your opinion, what are the three (3) most serious issues affecting your country today? (choose...-I don't know",QID277-18,Multiple Answer Choice Question ( up to 3),I don't know,
42,"In your opinion, what are the three (3) most serious issues affecting the world today? (choose up...-Lack of education",QID133-1,Multiple Answer Choice Question ( up to 3),Lack of education,
43,"In your opinion, what are the three (3) most serious issues affecting the world today? (choose up...-Food & water security",QID133-2,Multiple Answer Choice Question ( up to 3),Food & water security,
44,"In your opinion, what are the three (3) most serious issues affecting the world today? (choose up...-Basic welfare & healthcare",QID133-3,Multiple Answer Choice Question ( up to 3),Basic welfare & healthcare,
45,"In your opinion, what are the three (3) most serious issues affecting the world today? (choose up...-Large scale conflict / wars",QID133-4,Multiple Answer Choice Question ( up to 3),Large scale conflict / wars,
46,"In your opinion, what are the three (3) most serious issues affecting the world today? (choose up...-Lack of economic opportunity & employment",QID133-5,Multiple Answer Choice Question ( up to 3),Lack of economic opportunity & employment,
47,"In your opinion, what are the three (3) most serious issues affecting the world today? (choose up...-Gender inequality / lack of inclusion",QID133-6,Multiple Answer Choice Question ( up to 3),Gender inequality / lack of inclusion,
48,"In your opinion, what are the three (3) most serious issues affecting the world today? (choose up...-Government accountability & transparency / corruption",QID133-7,Multiple Answer Choice Question ( up to 3),Government accountability & transparency / corruption,
49,"In your opinion, what are the three (3) most serious issues affecting the world today? (choose up...-Lack of political freedom / political instability",QID133-8,Multiple Answer Choice Question ( up to 3),Lack of political freedom / political instability,
50,"In your opinion, what are the three (3) most serious issues affecting the world today? (choose up...-Climate change / destruction of natural resources",QID133-9,Multiple Answer Choice Question ( up to 3),Climate change / destruction of natural resources,
51,"In your opinion, what are the three (3) most serious issues affecting the world today? (choose up...-Loss of privacy / security due to technology",QID133-10,Multiple Answer Choice Question ( up to 3),Loss of privacy / security due to technology,
52,"In your opinion, what are the three (3) most serious issues affecting the world today? (choose up...-Religious conflicts",QID133-11,Multiple Answer Choice Question ( up to 3),Religious conflicts,
53,"In your opinion, what are the three (3) most serious issues affecting the world today? (choose up...-Poverty",QID133-12,Multiple Answer Choice Question ( up to 3),Poverty,
54,"In your opinion, what are the three (3) most serious issues affecting the world today? (choose up...-Online privacy / cyber crime / social media trolling",QID133-13,Multiple Answer Choice Question ( up to 3),Online privacy / cyber crime / social media trolling,
55,"In your opinion, what are the three (3) most serious issues affecting the world today? (choose up...-Safety / security / wellbeing",QID133-14,Multiple Answer Choice Question ( up to 3),Safety / security / wellbeing,
56,"In your opinion, what are the three (3) most serious issues affecting the world today? (choose up...-Other",QID133-15,Multiple Answer Choice Question ( up to 3),Other,
57,"In your opinion, what are the three (3) most serious issues affecting the world today? (choose up...-Lack of infrastructure",QID133-16,Multiple Answer Choice Question ( up to 3),Lack of infrastructure,
58,"In your opinion, what are the three (3) most serious issues affecting the world today? (choose up...-I don't know",QID133-18,Multiple Answer Choice Question ( up to 3),I don't know,
59,"Which stakeholders give you confidence that the above issues can be solved, locally and globally?...-Young Generation-Locally",QID135-1-1,Matrix - Multiple Answer Choice Question ( up to 2),Young Generation-Locally,
60,"Which stakeholders give you confidence that the above issues can be solved, locally and globally?...-Young Generation-Globally",QID135-1-2,Matrix - Multiple Answer Choice Question ( up to 2),Young Generation-Globally,
61,"Which stakeholders give you confidence that the above issues can be solved, locally and globally?...-NGOs / Civil Society-Locally",QID135-2-1,Matrix - Multiple Answer Choice Question ( up to 2),NGOs / Civil Society-Locally,
62,"Which stakeholders give you confidence that the above issues can be solved, locally and globally?...-NGOs / Civil Society-Globally",QID135-2-2,Matrix - Multiple Answer Choice Question ( up to 2),NGOs / Civil Society-Globally,
63,"Which stakeholders give you confidence that the above issues can be solved, locally and globally?...-Private Sector-Locally",QID135-3-1,Matrix - Multiple Answer Choice Question ( up to 2),Private Sector-Locally,
64,"Which stakeholders give you confidence that the above issues can be solved, locally and globally?...-Private Sector-Globally",QID135-3-2,Matrix - Multiple Answer Choice Question ( up to 2),Private Sector-Globally,
65,"Which stakeholders give you confidence that the above issues can be solved, locally and globally?...-Governments-Locally",QID135-4-1,Matrix - Multiple Answer Choice Question ( up to 2),Governments-Locally,
66,"Which stakeholders give you confidence that the above issues can be solved, locally and globally?...-Governments-Globally",QID135-4-2,Matrix - Multiple Answer Choice Question ( up to 2),Governments-Globally,
67,"Which stakeholders give you confidence that the above issues can be solved, locally and globally?...-International Organisations-Locally",QID135-5-1,Matrix - Multiple Answer Choice Question ( up to 2),International Organisations-Locally,
68,"Which stakeholders give you confidence that the above issues can be solved, locally and globally?...-International Organisations-Globally",QID135-5-2,Matrix - Multiple Answer Choice Question ( up to 2),International Organisations-Globally,
69,"Which stakeholders give you confidence that the above issues can be solved, locally and globally?...-Academics-Locally",QID135-6-1,Matrix - Multiple Answer Choice Question ( up to 2),Academics-Locally,
70,"Which stakeholders give you confidence that the above issues can be solved, locally and globally?...-Academics-Globally",QID135-6-2,Matrix - Multiple Answer Choice Question ( up to 2),Academics-Globally,
71,"Which stakeholders give you confidence that the above issues can be solved, locally and globally?...-None-Locally",QID135-7-1,Matrix - Multiple Answer Choice Question ( up to 2),None-Locally,
72,"Which stakeholders give you confidence that the above issues can be solved, locally and globally?...-None-Globally",QID135-7-2,Matrix - Multiple Answer Choice Question ( up to 2),None-Globally,
73,What are the most important factors contributing to inequality in your country? (choose up to 3)-Unequal healthcare services,QID137-1,Multiple Answer Choice Question ( up to 3),Unequal healthcare services,
74,"What are the most important factors contributing to inequality in your country? (choose up to 3)-Discrimination (gender, sexual orientation)",QID137-2,Multiple Answer Choice Question ( up to 3),"Discrimination (gender, sexual orientation)",
75,What are the most important factors contributing to inequality in your country? (choose up to 3)-Flow of migrants,QID137-3,Multiple Answer Choice Question ( up to 3),Flow of migrants,
76,What are the most important factors contributing to inequality in your country? (choose up to 3)-Access to good quality education,QID137-5,Multiple Answer Choice Question ( up to 3),Access to good quality education,
77,What are the most important factors contributing to inequality in your country? (choose up to 3)-Disability / diseases,QID137-6,Multiple Answer Choice Question ( up to 3),Disability / diseases,
78,What are the most important factors contributing to inequality in your country? (choose up to 3)-Income,QID137-8,Multiple Answer Choice Question ( up to 3),Income,
79,What are the most important factors contributing to inequality in your country? (choose up to 3)-Religion / caste / ethnicity,QID137-9,Multiple Answer Choice Question ( up to 3),Religion / caste / ethnicity,
80,What are the most important factors contributing to inequality in your country? (choose up to 3)-Government taxes and policies,QID137-10,Multiple Answer Choice Question ( up to 3),Government taxes and policies,
81,What are the most important factors contributing to inequality in your country? (choose up to 3)-Globalization / the free market,QID137-11,Multiple Answer Choice Question ( up to 3),Globalization / the free market,
82,What are the most important factors contributing to inequality in your country? (choose up to 3)-Corruption & lack of transparency,QID137-12,Multiple Answer Choice Question ( up to 3),Corruption & lack of transparency,
83,What are the most important factors contributing to inequality in your country? (choose up to 3)-Political ideologies,QID137-13,Multiple Answer Choice Question ( up to 3),Political ideologies,
84,What are the most important factors contributing to inequality in your country? (choose up to 3)-Other,QID137-14,Multiple Answer Choice Question ( up to 3),Other,
85,What are the most important factors contributing to inequality in your country? (choose up to 3)-Inequality is not an Issue in my country,QID137-15,Multiple Answer Choice Question ( up to 3),Inequality is not an Issue in my country,
86,What are the most important factors contributing to inequality in your country? (choose up to 3)-I don't know,QID137-17,Multiple Answer Choice Question ( up to 3),I don't know,
87,Progress_20.png,QID346,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
88,Technology is changing the way we live and sometimes the way we think. Please share your views on...,QID297,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
89,Do you think it is acceptable to use science to design the features of babies?,QID112,Single Answer Choice ,"Yes, No, I don't care",
90,What part of your life is going to change significantly because of technological developments in...-Job / career,QID109-1,Multiple Answer Choice Question ( up to 3),Job / career,
91,What part of your life is going to change significantly because of technological developments in...-Marriage / family,QID109-2,Multiple Answer Choice Question ( up to 3),Marriage / family,
92,What part of your life is going to change significantly because of technological developments in...-Studying / learning,QID109-3,Multiple Answer Choice Question ( up to 3),Studying / learning,
93,What part of your life is going to change significantly because of technological developments in...-Travelling and mobility,QID109-4,Multiple Answer Choice Question ( up to 3),Travelling and mobility,
94,What part of your life is going to change significantly because of technological developments in...-Other,QID109-5,Multiple Answer Choice Question ( up to 3),Other,
95,What part of your life is going to change significantly because of technological developments in...-I don't know,QID109-6,Multiple Answer Choice Question ( up to 3),I don't know,
96,What part of your life is going to change significantly because of technological developments in...-Food,QID109-8,Multiple Answer Choice Question ( up to 3),Food,
97,What part of your life is going to change significantly because of technological developments in...-Relationships,QID109-9,Multiple Answer Choice Question ( up to 3),Relationships,
98,What part of your life is going to change significantly because of technological developments in...-Leisure,QID109-10,Multiple Answer Choice Question ( up to 3),Leisure,
99,What part of your life is going to change significantly because of technological developments in...-Shopping / lifestyle,QID109-11,Multiple Answer Choice Question ( up to 3),Shopping / lifestyle,
100,What part of your life is going to change significantly because of technological developments in...-Home / accomodation,QID109-12,Multiple Answer Choice Question ( up to 3),Home / accomodation,
101,What part of your life is going to change significantly because of technological developments in...-None,QID109-16,Multiple Answer Choice Question ( up to 3),None,
102,"What device do you use most frequently to access the internet in the context of the situations, a...-Social media",QID113-1,Matrix - Single Answer Choice,Social media,
103,"What device do you use most frequently to access the internet in the context of the situations, a...-Writing / reading e-mails",QID113-2,Matrix - Single Answer Choice,Writing / reading e-mails,
104,"What device do you use most frequently to access the internet in the context of the situations, a...-Online shopping",QID113-3,Matrix - Single Answer Choice,Online shopping,
105,How do you feel about data privacy?-Not concerned:Very concerned,QID108-1,Single Answer Choice ,"Not concerned:Very concerned (1,2,3,4,5)",
106,How many apps have you downloaded onto your smartphone in the past month?,QID114,Single Answer Choice ,"0, Less than 5, More than 5, More than 10, More than 15, I don't have a smartphone",
107,Have you ever avoided downloading or uninstalled an app due to privacy concerns?,QID115,Single Answer Choice,"Yes, No",Answer If How many apps have you downloaded onto your smartphone in the past month? I don't have a smartphone Is Not Selected
108,Do you agree with the following statement? I would support rights for humanoid robots.  ,QID110,Single Answer Choice,"Yes, No, I don't know",
109,Progress_30.png,QID348,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
110,Please share your opinions on the job market and what factors you consider when choosing a job.  ,QID303,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
111,How do you feel about your future job prospects?-Very pessimistic:Very optimistic,QID234-1,Single Answer Choice,"Very pessimistic:Very optimistic (1,2,3,4,5)",
112,What are your three (3) most important criteria when considering job opportunities? (choose up to 3)-Salary / financial compensation,QID236-1,Multiple Answer Choice Question ( up to 3),Salary / financial compensation,
113,What are your three (3) most important criteria when considering job opportunities? (choose up to 3)-Growth / career advancement,QID236-2,Multiple Answer Choice Question ( up to 3),Growth / career advancement,
114,What are your three (3) most important criteria when considering job opportunities? (choose up to 3)-Work / life balance,QID236-3,Multiple Answer Choice Question ( up to 3),Work / life balance,
115,What are your three (3) most important criteria when considering job opportunities? (choose up to 3)-Opportunity to travel internationally,QID236-4,Multiple Answer Choice Question ( up to 3),Opportunity to travel internationally,
116,What are your three (3) most important criteria when considering job opportunities? (choose up to 3)-Training and development,QID236-5,Multiple Answer Choice Question ( up to 3),Training and development,
117,What are your three (3) most important criteria when considering job opportunities? (choose up to 3)-Sense of purpose / impact on society,QID236-6,Multiple Answer Choice Question ( up to 3),Sense of purpose / impact on society,
118,What are your three (3) most important criteria when considering job opportunities? (choose up to 3)-Company culture / quality of colleagues,QID236-7,Multiple Answer Choice Question ( up to 3),Company culture / quality of colleagues,
119,"What are your three (3) most important criteria when considering job opportunities? (choose up to 3)-Flexibility / autonomy (working hours, location)",QID236-8,Multiple Answer Choice Question ( up to 3),"Flexibility / autonomy (working hours, location)",
120,What are your three (3) most important criteria when considering job opportunities? (choose up to 3)-Reputation of company / social status,QID236-10,Multiple Answer Choice Question ( up to 3),Reputation of company / social status,
121,What are your three (3) most important criteria when considering job opportunities? (choose up to 3)-Dynamic and growing enterprise,QID236-11,Multiple Answer Choice Question ( up to 3),Dynamic and growing enterprise,
122,What are your three (3) most important criteria when considering job opportunities? (choose up to 3)-Product / service quality,QID236-12,Multiple Answer Choice Question ( up to 3),Product / service quality,
123,What are your three (3) most important criteria when considering job opportunities? (choose up to 3)-I don't know,QID236-14,Multiple Answer Choice Question ( up to 3),I don't know,
124,What are your three (3) most important criteria when considering job opportunities? (choose up to 3)-Other,QID236-15,Multiple Answer Choice Question ( up to 3),Other,
125,What do you think are the top three (3) most important factors you need in order to have a succes...-Intellectual ability / skills,QID237-1,Multiple Answer Choice Question ( up to 3),Intellectual ability / skills,
126,What do you think are the top three (3) most important factors you need in order to have a succes...-Emotional intelligence,QID237-2,Multiple Answer Choice Question ( up to 3),Emotional intelligence,
127,What do you think are the top three (3) most important factors you need in order to have a succes...-Manage perceptions with colleagues / boss and superiors,QID237-3,Multiple Answer Choice Question ( up to 3),Manage perceptions with colleagues / boss and superiors,
128,What do you think are the top three (3) most important factors you need in order to have a succes...-Ability to get along with manager,QID237-4,Multiple Answer Choice Question ( up to 3),Ability to get along with manager,
129,What do you think are the top three (3) most important factors you need in order to have a succes...-Good social networks inside and outside the company,QID237-5,Multiple Answer Choice Question ( up to 3),Good social networks inside and outside the company,
130,What do you think are the top three (3) most important factors you need in order to have a succes...-Ability to navigate and manage internal politics,QID237-6,Multiple Answer Choice Question ( up to 3),Ability to navigate and manage internal politics,
131,What do you think are the top three (3) most important factors you need in order to have a succes...-I don't know,QID237-13,Multiple Answer Choice Question ( up to 3),I don't know,
132,What do you think are the top three (3) most important factors you need in order to have a succes...-Other,QID237-14,Multiple Answer Choice Question ( up to 3),Other,
133,What do you think are the top three (3) most important factors you need in order to have a succes...-Continuous learning / being up to date on latest technologies,QID237-15,Multiple Answer Choice Question ( up to 3),Continuous learning / being up to date on latest technologies,
134,What do you think are the top three (3) most important factors you need in order to have a succes...-Educational qualifications / degrees and certifications,QID237-20,Multiple Answer Choice Question ( up to 3),Educational qualifications / degrees and certifications,
135,How attractive are the public sector / government jobs in your country?,QID150,Single Answer Choice,"Very unattractive, Somewhat unattractive, Neither unattractive nor attractive, Somewhat attractive, Very attractive",
136,"According to you, what is the most important factor that makes the public sector job market in yo...",QID151,Single Answer Choice,"Job security, Salary / perks / allowances, Sense of purpose / making an impact, Reputation / social status, Authority / power, Other",Answer If How attractive is the public sector job market in your country? Neither Unattractive nor Attractive Is Selected Or How attractive is the public sector job market in your country? Somewhat Attractive Is Selected Or How attractive is the public sector job market in your country? Very Attractive Is Selected
137,"According to you, what is the most important factor that makes the public sector job market in yo...",QID152,Single Answer Choice,"Low salary, Corruption, Bureaucracy, Less creative environment / mundane tasks, Lack of Growth Opportunities, Politics, Lack of transparency and accountability, Reputation / social status, Other",Answer If How attractive is the public sector job market in your country? Very Unattractive Is Selected Or How attractive is the public sector job market in your country? Somewhat Inattrative Is Selected Or How attractive is the public sector job market in your country? Neither Unattractive nor Attractive Is Selected
138,Progress_40.png,QID349,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
139,To what extent does your country retain talented people?-Not at all -<br /> / the best and brightest leave<br /> / to pursue opportunities<br /> / abroad:To a great extent -<br /> / the best and brightest stay<br /> / and pursue opportunities<br /> / in the country,QID138-1,Single Answer Choice,"Not at all - the best and brightest leave to pursue opportunities abroad:To a great extent the best and brightest stay and pursue opportunities in the country (1,2,3,4,5)",
140,Would you be willing to live outside your country of residence in order to advance your career?,QID238,Single Answer Choice,"Yes, No, Maybe",
141,Please list your FIRST choice of a country you would like to live in order to further advance you...,QID328,Single Answer Choice,List of 240 Countries and Territories (see ListOfCountriesAndTerritories.csv),Answer If Would you be willing to live outside your country of residence in order to advance your career? Yes Is Selected Or Would you be willing to live outside your country of residence in order to advance your career? Maybee Is Selected
142,Please list your SECOND choice of a country you would like to live in order to further advance yo...,QID329,Single Answer Choice,List of 240 Countries and Territories (see ListOfCountriesAndTerritories.csv),Answer If Would you be willing to live outside your country of residence in order to advance your career? Yes Is Selected Or Would you be willing to live outside your country of residence in order to advance your career? Maybee Is Selected
143,Please list your THIRD choice of a country you would like to live in order to further advance you...,QID330,Single Answer Choice,List of 240 Countries and Territories (see ListOfCountriesAndTerritories.csv),Answer If Would you be willing to live outside your country of residence in order to advance your career? Yes Is Selected Or Would you be willing to live outside your country of residence in order to advance your career? Maybee Is Selected
144,Progress_45.png,QID350,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
145,Please share your opinion on the governance of your country and on the ability of young people to...,QID304,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
146,"In general, life in my country is...-Very hard:Very easy",QID139-1,Single Answer Choice,"Very hard:Very easy (1,2,3,4,5)",
147,"The most important things that I expect of leaders of my country are (choose up to 3):-To demonstrate integrity, honesty and humility",QID367-15,Multiple Answer Choice Question ( up to 3),"To demonstrate integrity, honesty and humility",
148,The most important things that I expect of leaders of my country are (choose up to 3):-To focus on the priorities of my country NOT the world,QID367-16,Multiple Answer Choice Question ( up to 3),To focus on the priorities of my country NOT the world,
149,The most important things that I expect of leaders of my country are (choose up to 3):-To focus on the priorities of my country AND the world,QID367-17,Multiple Answer Choice Question ( up to 3),To focus on the priorities of my country AND the world,
150,The most important things that I expect of leaders of my country are (choose up to 3):-Accessibility – to be able to interact with them,QID367-18,Multiple Answer Choice Question ( up to 3),Accessibility – to be able to interact with them,
151,The most important things that I expect of leaders of my country are (choose up to 3):-To be action-oriented and to deliver results,QID367-19,Multiple Answer Choice Question ( up to 3),To be action-oriented and to deliver results,
152,The most important things that I expect of leaders of my country are (choose up to 3):-To understand citizens and to serve them,QID367-20,Multiple Answer Choice Question ( up to 3),To understand citizens and to serve them,
153,The most important things that I expect of leaders of my country are (choose up to 3):-To make difficult decisions even if the decisions are not popular,QID367-21,Multiple Answer Choice Question ( up to 3),To make difficult decisions even if the decisions are not popular,
154,The most important things that I expect of leaders of my country are (choose up to 3):-To ensure that there is peace and stability,QID367-22,Multiple Answer Choice Question ( up to 3),To ensure that there is peace and stability,
155,The most important things that I expect of leaders of my country are (choose up to 3):-To ensure that my country is respected in the world,QID367-23,Multiple Answer Choice Question ( up to 3),To ensure that my country is respected in the world,
156,"The most important things that I expect of leaders of my country are (choose up to 3):-To protect all citizens, especially minorities",QID367-24,Multiple Answer Choice Question ( up to 3),"To protect all citizens, especially minorities",
157,The most important things that I expect of leaders of my country are (choose up to 3):-To protect the future of my country and of the world,QID367-25,Multiple Answer Choice Question ( up to 3),To protect the future of my country and of the world,
158,The most important things that I expect of leaders of my country are (choose up to 3):-Nothing,QID367-26,Multiple Answer Choice Question ( up to 3),Nothing,
159,The most important things that I expect of leaders of my country are (choose up to 3):-Other,QID367-27,Multiple Answer Choice Question ( up to 3),Other,
160,"In your country, to what extent does the government adopt the latest technologies to deliver serv...-Not at all:To a great extent",QID107-1,Single Answer Choice,"Not at all:To a great extent (1,2,3,4,5)",
161,Progress_50.png,QID351,Descriptive text / 1 (seen by respondent) empty (not seen by respondent),"1, empty",
162,"Do you agree with the following statements? As a young person, I can actively contribute to shapi...-Strongly disagree:Strongly agree",QID360-1,Single Answer Choice,"Strongly disagree:Strongly agree (1,2,3,4,5)",
163,What are the most important factors that contribute to youth empowerment in your country? (choose...-Opportunities in politics,QID156-1,Multiple Answer Choice Question ( up to 3),Opportunities in politics,
164,What are the most important factors that contribute to youth empowerment in your country? (choose...-Flatter hierarchies,QID156-2,Multiple Answer Choice Question ( up to 3),Flatter hierarchies,
165,What are the most important factors that contribute to youth empowerment in your country? (choose...-Transparency in governance,QID156-3,Multiple Answer Choice Question ( up to 3),Transparency in governance,
166,What are the most important factors that contribute to youth empowerment in your country? (choose...-Free media / social media,QID156-4,Multiple Answer Choice Question ( up to 3),Free media / social media,
167,What are the most important factors that contribute to youth empowerment in your country? (choose...-Fair and just system,QID156-5,Multiple Answer Choice Question ( up to 3),Fair and just system,
168,What are the most important factors that contribute to youth empowerment in your country? (choose...-Senior role models in society,QID156-6,Multiple Answer Choice Question ( up to 3),Senior role models in society,
169,What are the most important factors that contribute to youth empowerment in your country? (choose...-Start-up ecosystem & entrepreneurship,QID156-7,Multiple Answer Choice Question ( up to 3),Start-up ecosystem & entrepreneurship,
170,What are the most important factors that contribute to youth empowerment in your country? (choose...-Other,QID156-8,Multiple Answer Choice Question ( up to 3),Other,
171,What are the most important factors that contribute to youth empowerment in your country? (choose...-Globalisation / free markets,QID156-9,Multiple Answer Choice Question ( up to 3),Globalisation / free markets,
172,What are the most important factors that contribute to youth empowerment in your country? (choose...-Access to internet,QID156-10,Multiple Answer Choice Question ( up to 3),Access to internet,
173,What are the most important factors that contribute to youth empowerment in your country? (choose...-Engagement with the government  (direct or online),QID156-11,Multiple Answer Choice Question ( up to 3),Engagement with the government  (direct or online),
174,What are the most important factors that contribute to youth empowerment in your country? (choose...-I don't know,QID156-13,Multiple Answer Choice Question ( up to 3),I don't know,
175,"What frustrates you the most about government leaders in your country (presidents, prime-minister...-Bureaucracy / administrative barriers",QID316-1,Multiple Answer Choice Question ( up to 3),Bureaucracy / administrative barriers,
176,"What frustrates you the most about government leaders in your country (presidents, prime-minister...-Special treatments (entourage, security, opening doors, holding umbrellas, special titles, etc.)",QID316-2,Multiple Answer Choice Question ( up to 3),"Special treatments (entourage, security, opening doors, holding umbrellas, special titles, etc.)",
177,"What frustrates you the most about government leaders in your country (presidents, prime-minister...-Lack of action",QID316-3,Multiple Answer Choice Question ( up to 3),Lack of action,
